,Gene1,Gene2,Type
0,Gata1,Eklf,+
1,Fli1,Eklf,-
2,Cebpa,Pu1,+
3,Pu1,Pu1,+
4,Gata1,Pu1,-
5,Gata2,Pu1,-
6,Pu1,EgrNab,+
7,cJun,EgrNab,+
8,Gfi1,EgrNab,-
9,Cebpa,Gfi1,+
10,EgrNab,Gfi1,-
11,Gata1,Fog1,+
12,Gata2,Gata2,+
13,Pu1,Gata2,-
14,Gata1,Gata2,-
15,Fog1,Gata2,-
16,Gata1,Fli1,+
17,Eklf,Fli1,-
18,Gata1,Scl,+
19,Pu1,Scl,-
20,Pu1,cJun,+
21,Gfi1,cJun,-
22,Gata1,Gata1,+
23,Gata2,Gata1,+
24,Fli1,Gata1,+
25,Pu1,Gata1,-
26,Cebpa,Cebpa,+
27,Scl,Cebpa,-
28,Fog1,Cebpa,-
29,Gata1,Cebpa,-
30,Gata1,Fli1,+
31,Eklf,Fli1,-
32,Pu1,EgrNab,+
33,cJun,EgrNab,+
34,Gfi1,EgrNab,-
35,Gata1,Gata1,+
36,Gata2,Gata1,+
37,Fli1,Gata1,+
38,Pu1,Gata1,-
39,Gata1,Fog1,+
40,Pu1,cJun,+
41,Gfi1,cJun,-
42,Cebpa,Pu1,+
43,Pu1,Pu1,+
44,Gata1,Pu1,-
45,Gata2,Pu1,-
46,Gata1,Scl,+
47,Pu1,Scl,-
48,Gata1,Eklf,+
49,Fli1,Eklf,-
50,Cebpa,Cebpa,+
51,Scl,Cebpa,-
52,Fog1,Cebpa,-
53,Gata1,Cebpa,-
54,Cebpa,Gfi1,+
55,EgrNab,Gfi1,-
56,Gata2,Gata2,+
57,Pu1,Gata2,-
58,Gata1,Gata2,-
59,Fog1,Gata2,-
60,Gata1,Fli1,+
61,Eklf,Fli1,-
62,Pu1,EgrNab,+
63,cJun,EgrNab,+
64,Gfi1,EgrNab,-
65,Gata1,Gata1,+
66,Gata2,Gata1,+
67,Fli1,Gata1,+
68,Pu1,Gata1,-
69,Gata1,Fog1,+
70,Pu1,cJun,+
71,Gfi1,cJun,-
72,Cebpa,Pu1,+
73,Pu1,Pu1,+
74,Gata1,Pu1,-
75,Gata2,Pu1,-
76,Gata1,Scl,+
77,Pu1,Scl,-
78,Gata1,Eklf,+
79,Fli1,Eklf,-
80,Cebpa,Cebpa,+
81,Scl,Cebpa,-
82,Fog1,Cebpa,-
83,Gata1,Cebpa,-
84,Cebpa,Gfi1,+
85,EgrNab,Gfi1,-
86,Gata2,Gata2,+
87,Pu1,Gata2,-
88,Gata1,Gata2,-
89,Fog1,Gata2,-
90,Gata1,Eklf,+
91,Fli1,Eklf,-
92,Cebpa,Pu1,+
93,Pu1,Pu1,+
94,Gata1,Pu1,-
95,Gata2,Pu1,-
96,Pu1,EgrNab,+
97,cJun,EgrNab,+
98,Gfi1,EgrNab,-
99,Cebpa,Gfi1,+
100,EgrNab,Gfi1,-
101,Gata1,Fog1,+
102,Gata2,Gata2,+
103,Pu1,Gata2,-
104,Gata1,Gata2,-
105,Fog1,Gata2,-
106,Gata1,Fli1,+
107,Eklf,Fli1,-
108,Gata1,Scl,+
109,Pu1,Scl,-
110,Pu1,cJun,+
111,Gfi1,cJun,-
112,Gata1,Gata1,+
113,Gata2,Gata1,+
114,Fli1,Gata1,+
115,Pu1,Gata1,-
116,Cebpa,Cebpa,+
117,Scl,Cebpa,-
118,Fog1,Cebpa,-
119,Gata1,Cebpa,-
120,Gata2,Gata2,+
121,Pu1,Gata2,-
122,Gata1,Gata2,-
123,Fog1,Gata2,-
124,Cebpa,Cebpa,+
125,Scl,Cebpa,-
126,Fog1,Cebpa,-
127,Gata1,Cebpa,-
128,Gata1,Gata1,+
129,Gata2,Gata1,+
130,Fli1,Gata1,+
131,Pu1,Gata1,-
132,Pu1,cJun,+
133,Gfi1,cJun,-
134,Pu1,EgrNab,+
135,cJun,EgrNab,+
136,Gfi1,EgrNab,-
137,Gata1,Scl,+
138,Pu1,Scl,-
139,Cebpa,Gfi1,+
140,EgrNab,Gfi1,-
141,Gata1,Fli1,+
142,Eklf,Fli1,-
143,Cebpa,Pu1,+
144,Pu1,Pu1,+
145,Gata1,Pu1,-
146,Gata2,Pu1,-
147,Gata1,Eklf,+
148,Fli1,Eklf,-
149,Gata1,Fog1,+
150,Gata2,Gata2,+
151,Pu1,Gata2,-
152,Gata1,Gata2,-
153,Fog1,Gata2,-
154,Cebpa,Cebpa,+
155,Scl,Cebpa,-
156,Fog1,Cebpa,-
157,Gata1,Cebpa,-
158,Gata1,Gata1,+
159,Gata2,Gata1,+
160,Fli1,Gata1,+
161,Pu1,Gata1,-
162,Pu1,cJun,+
163,Gfi1,cJun,-
164,Pu1,EgrNab,+
165,cJun,EgrNab,+
166,Gfi1,EgrNab,-
167,Gata1,Scl,+
168,Pu1,Scl,-
169,Cebpa,Gfi1,+
170,EgrNab,Gfi1,-
171,Gata1,Fli1,+
172,Eklf,Fli1,-
173,Cebpa,Pu1,+
174,Pu1,Pu1,+
175,Gata1,Pu1,-
176,Gata2,Pu1,-
177,Gata1,Eklf,+
178,Fli1,Eklf,-
179,Gata1,Fog1,+
180,Gata1,Eklf,+
181,Fli1,Eklf,-
182,Cebpa,Pu1,+
183,Pu1,Pu1,+
184,Gata1,Pu1,-
185,Gata2,Pu1,-
186,Pu1,EgrNab,+
187,cJun,EgrNab,+
188,Gfi1,EgrNab,-
189,Cebpa,Gfi1,+
190,EgrNab,Gfi1,-
191,Gata1,Fog1,+
192,Gata2,Gata2,+
193,Pu1,Gata2,-
194,Gata1,Gata2,-
195,Fog1,Gata2,-
196,Gata1,Fli1,+
197,Eklf,Fli1,-
198,Gata1,Scl,+
199,Pu1,Scl,-
200,Pu1,cJun,+
201,Gfi1,cJun,-
202,Gata1,Gata1,+
203,Gata2,Gata1,+
204,Fli1,Gata1,+
205,Pu1,Gata1,-
206,Cebpa,Cebpa,+
207,Scl,Cebpa,-
208,Fog1,Cebpa,-
209,Gata1,Cebpa,-
210,Gata1,Fli1,+
211,Eklf,Fli1,-
212,Gata1,Gata1,+
213,Gata2,Gata1,+
214,Fli1,Gata1,+
215,Pu1,Gata1,-
216,Gata1,Scl,+
217,Pu1,Scl,-
218,Pu1,cJun,+
219,Gfi1,cJun,-
220,Gata2,Gata2,+
221,Pu1,Gata2,-
222,Gata1,Gata2,-
223,Fog1,Gata2,-
224,Gata1,Fog1,+
225,Gata1,Eklf,+
226,Fli1,Eklf,-
227,Cebpa,Cebpa,+
228,Scl,Cebpa,-
229,Fog1,Cebpa,-
230,Gata1,Cebpa,-
231,Cebpa,Pu1,+
232,Pu1,Pu1,+
233,Gata1,Pu1,-
234,Gata2,Pu1,-
235,Pu1,EgrNab,+
236,cJun,EgrNab,+
237,Gfi1,EgrNab,-
238,Cebpa,Gfi1,+
239,EgrNab,Gfi1,-
240,Gata1,Fli1,+
241,Eklf,Fli1,-
242,Gata1,Gata1,+
243,Gata2,Gata1,+
244,Fli1,Gata1,+
245,Pu1,Gata1,-
246,Gata1,Scl,+
247,Pu1,Scl,-
248,Pu1,cJun,+
249,Gfi1,cJun,-
250,Gata2,Gata2,+
251,Pu1,Gata2,-
252,Gata1,Gata2,-
253,Fog1,Gata2,-
254,Gata1,Fog1,+
255,Gata1,Eklf,+
256,Fli1,Eklf,-
257,Cebpa,Cebpa,+
258,Scl,Cebpa,-
259,Fog1,Cebpa,-
260,Gata1,Cebpa,-
261,Cebpa,Pu1,+
262,Pu1,Pu1,+
263,Gata1,Pu1,-
264,Gata2,Pu1,-
265,Pu1,EgrNab,+
266,cJun,EgrNab,+
267,Gfi1,EgrNab,-
268,Cebpa,Gfi1,+
269,EgrNab,Gfi1,-
270,Gata1,Eklf,+
271,Fli1,Eklf,-
272,Cebpa,Pu1,+
273,Pu1,Pu1,+
274,Gata1,Pu1,-
275,Gata2,Pu1,-
276,Pu1,EgrNab,+
277,cJun,EgrNab,+
278,Gfi1,EgrNab,-
279,Cebpa,Gfi1,+
280,EgrNab,Gfi1,-
281,Gata1,Fog1,+
282,Gata2,Gata2,+
283,Pu1,Gata2,-
284,Gata1,Gata2,-
285,Fog1,Gata2,-
286,Gata1,Fli1,+
287,Eklf,Fli1,-
288,Gata1,Scl,+
289,Pu1,Scl,-
290,Pu1,cJun,+
291,Gfi1,cJun,-
